core,depth,aom,yrsbp,smt
PC1029,5,1.65E-35,0,NA
PC1029,5.1,5.74E-35,0,NA
PC1029,5.2,1.82E-34,0,NA
PC1029,5.3,5.75E-34,0,NA
PC1029,5.4,1.81E-33,0,NA
PC1029,5.5,5.70E-33,0,NA
PC1029,5.6,1.80E-32,0,NA
PC1029,5.7,5.65E-32,0,NA
PC1029,5.8,1.78E-31,0,NA
PC1029,5.9,5.60E-31,0,NA
PC1029,6,1.76E-30,0,NA
PC1029,6.1,5.54E-30,0,NA
PC1029,6.2,1.74E-29,0,NA
PC1029,6.3,5.48E-29,0,NA
PC1029,6.4,1.72E-28,0,NA
PC1029,6.5,5.42E-28,0,NA
PC1029,6.6,1.71E-27,0,NA
PC1029,6.7,5.36E-27,0,NA
PC1029,6.8,1.68E-26,0,NA
PC1029,6.9,5.29E-26,0,NA
PC1029,7,1.66E-25,0,NA
PC1029,7.1,5.22E-25,0,NA
PC1029,7.2,1.64E-24,0,NA
PC1029,7.3,5.15E-24,0,NA
PC1029,7.4,1.62E-23,0,NA
PC1029,7.5,5.08E-23,0,NA
PC1029,7.6,1.59E-22,0,NA
PC1029,7.7,5.00E-22,0,NA
PC1029,7.8,1.57E-21,0,NA
PC1029,7.9,4.91E-21,0,NA
PC1029,8,1.54E-20,0,NA
PC1029,8.1,4.83E-20,0,NA
PC1029,8.2,1.51E-19,0,NA
PC1029,8.3,4.74E-19,0,NA
PC1029,8.4,1.48E-18,0,NA
PC1029,8.5,4.64E-18,0,NA
PC1029,8.6,1.45E-17,0,NA
PC1029,8.7,4.55E-17,0,NA
PC1029,8.8,1.42E-16,0,NA
PC1029,8.9,4.44E-16,0,NA
PC1029,9,1.39E-15,0,NA
PC1029,9.1,4.34E-15,0,NA
PC1029,9.2,1.35E-14,0,NA
PC1029,9.3,4.23E-14,0,NA
PC1029,9.4,1.32E-13,0,NA
PC1029,9.5,4.11E-13,0,NA
PC1029,9.6,1.28E-12,0,NA
PC1029,9.7,3.99E-12,0,NA
PC1029,9.8,1.24E-11,0,NA
PC1029,9.9,3.86E-11,0,NA
PC1029,10,1.20E-10,0,NA
PC1029,10.1,3.72E-10,0,NA
PC1029,10.2,1.15E-09,0,NA
PC1029,10.3,3.58E-09,0,NA
PC1029,10.4,1.11E-08,0,NA
PC1029,10.5,3.43E-08,0,NA
PC1029,10.6,1.06E-07,0,NA
PC1029,10.7,3.27E-07,0,NA
PC1029,10.8,1.01E-06,0,NA
PC1029,10.9,3.11E-06,0,NA
PC1029,11,9.55E-06,0,NA
PC1029,11.1,2.93E-05,0,NA
PC1029,11.2,8.97E-05,0,NA
PC1029,11.3,2.74E-04,0,NA
PC1029,11.4,8.36E-04,0,NA
PC1029,11.5,2.54E-03,0,NA
PC1029,11.6,7.70E-03,0,NA
PC1029,11.7,2.32E-02,0,NA
PC1029,11.8,6.99E-02,0,NA
PC1029,11.9,2.09E-01,0,NA
PC1029,12,6.21E-01,0,NA
PC1029,12.1,1.83E+00,0,NA
PC1029,12.2,5.36E+00,0,NA
PC1029,12.3,1.55E+01,0,NA
PC1029,12.4,4.39E+01,0,NA
PC1029,12.5,1.22E+02,0,NA
PC1029,12.6,3.26E+02,0,NA
PC1029,12.7,8.26E+02,0,NA
PC1029,12.8,1.89E+03,0,NA
PC1029,12.9,3.53E+03,0,NA
PC1029,13,4.47E+03,0,NA
PC1029,13.1,3.10E+03,0,NA
PC1029,13.2,1.20E+03,0,NA
PC1029,13.3,3.11E+02,0,NA
PC1029,13.4,6.23E+01,0,NA
PC1029,13.5,1.04E+01,0,NA
PC1029,13.6,1.51E+00,0,NA
PC1029,13.7,1.96E-01,0,NA
PC1029,13.8,2.31E-02,0,NA
PC1029,13.9,2.52E-03,0,NA
PC1029,14,2.55E-04,0,NA
PC1029,14.1,2.44E-05,0,NA
PC1029,14.2,2.21E-06,0,NA
