core,depth,aom,yrsbp,flux,smt
PC1029,0.25,121.5914479,0,60795.72393,NA
PC1029,0.75,102.61426,0,51307.12999,NA
PC1029,1.25,92.33881279,0,46169.4064,NA
PC1029,1.75,87.39452185,0,43697.26093,NA
PC1029,2.25,85.63830685,0,42819.15342,NA
PC1029,2.75,86.74315039,0,43371.5752,NA
PC1029,3.25,91.59975654,0,45799.87827,NA
PC1029,3.75,103.1518669,0,51575.93344,NA
PC1029,4.25,129.4872652,0,64743.6326,NA
PC1029,4.75,191.7522875,0,95876.14377,NA
PC1029,5.25,342.1405575,0,171070.2788,NA
PC1029,5.75,698.4473015,0,349223.6508,NA
PC1029,6.25,1461.818625,0,730909.3123,NA
PC1029,6.75,2574.671294,0,1287335.647,NA
PC1029,7.25,3341.250297,0,1670625.148,NA
PC1029,7.75,3782.852153,0,1891426.077,NA
PC1029,8.25,4125.260724,0,2062630.362,NA
PC1029,8.75,4435.169576,0,2217584.788,NA
PC1029,9.25,4726.840835,0,2363420.418,NA
PC1029,9.75,5000.163567,0,2500081.783,NA
PC1029,10.25,5252.208608,0,2626104.304,NA
PC1029,10.75,5482.436196,0,2741218.098,NA
PC1029,11.25,5694.21879,0,2847109.395,NA
PC1029,11.75,5892.739125,0,2946369.562,NA
PC1029,12.25,6082.233715,0,3041116.857,NA
PC1029,12.75,6264.93418,0,3132467.09,NA
PC1029,13.25,6440.936188,0,3220468.094,NA
PC1029,13.75,6609.296829,0,3304648.415,NA
PC1029,14.25,6769.005586,0,3384502.793,NA
PC1029,14.75,6919.357822,0,3459678.911,NA
PC1029,15.25,7060.020713,0,3530010.356,NA
PC1029,15.75,7190.973257,0,3595486.629,NA
PC1029,16.25,7312.41122,0,3656205.61,NA
PC1029,16.75,7424.659771,0,3712329.886,NA
PC1029,17.25,7528.110145,0,3764055.072,NA
PC1029,17.75,7623.183104,0,3811591.552,NA
PC1029,18.25,7709.43018,0,3854715.09,NA
PC1029,18.75,7787.995148,0,3893997.574,NA
PC1029,19.25,7859.309368,0,3929654.684,NA
PC1029,19.75,7923.788185,0,3961894.092,NA
PC1029,20.25,7981.961266,0,3990980.633,NA
PC1029,20.75,8034.489586,0,4017244.793,NA
PC1029,21.25,8082.149187,0,4041074.594,NA
PC1029,21.75,8125.759234,0,4062879.617,NA
PC1029,22.25,8166.070743,0,4083035.372,NA
PC1029,22.75,8203.723891,0,4101861.946,NA
PC1029,23.25,8239.251773,0,4119625.886,NA
PC1029,23.75,8273.086285,0,4136543.143,NA
PC1029,24.25,8305.563865,0,4152781.932,NA
PC1029,24.75,8336.948294,0,4168474.147,NA
PC1029,25.25,8367.446062,0,4183723.031,NA
PC1029,25.75,8397.218694,0,4198609.347,NA
PC1029,26.25,8426.394068,0,4213197.034,NA
PC1029,26.75,8455.076305,0,4227538.153,NA
PC1029,27.25,8483.353233,0,4241676.617,NA
PC1029,27.75,8511.300317,0,4255650.158,NA
PC1029,28.25,8538.98142,0,4269490.71,NA
PC1029,28.75,8566.447841,0,4283223.921,NA
PC1029,29.25,8593.735702,0,4296867.851,NA
PC1029,29.75,8620.862596,0,4310431.298,NA
GC1045,130,0.000180427,10,0.451068493,82
GC1045,132.5,0.000489836,10,1.224589041,82
GC1045,135,0.001329699,10,3.324246575,82
GC1045,137.5,0.003609041,10,9.02260274,82
GC1045,140,0.009794795,10,24.4869863,82
GC1045,142.5,0.02657726,10,66.44315068,82
GC1045,145,0.07209589,10,180.239726,82
GC1045,147.5,0.195473973,10,488.6849315,82
GC1045,150,0.529479452,10,1323.69863,82
GC1045,152.5,1.431205479,10,3578.013699,82
GC1045,155,3.849589041,10,9623.972603,82
GC1045,157.5,10.23287671,10,25582.19178,82
GC1045,160,26.41863014,10,66046.57534,82
GC1045,162.5,63.56986301,10,158924.6575,82
GC1045,165,130.4383562,10,326095.8904,82
GC1045,167.5,182.2082192,10,455520.5479,82
GC1045,170,68.59178082,10,171479.4521,82
GC1045,172.5,6.593972603,10,16484.93151,82
GC1045,175,0.444082192,10,1110.205479,82
GC1045,120,0.000191515,9,0.478787671,82
GC1045,122.5,0.000519945,9,1.299863014,82
GC1045,125,0.001411507,9,3.528767123,82
GC1045,127.5,0.003831233,9,9.578082192,82
GC1045,130,0.010398356,9,25.99589041,82
GC1045,132.5,0.028216438,9,70.54109589,82
GC1045,135,0.076547945,9,191.369863,82
GC1045,137.5,0.207556164,9,518.890411,82
GC1045,140,0.562219178,9,1405.547945,82
GC1045,142.5,1.519561644,9,3798.90411,82
GC1045,145,4.086027397,9,10215.06849,82
GC1045,147.5,10.8509589,9,27127.39726,82
GC1045,150,27.94520548,9,69863.0137,82
GC1045,152.5,66.8630137,9,167157.5342,82
GC1045,155,135.5780822,9,338945.2055,82
GC1045,157.5,184.1260274,9,460315.0685,82
