core,depth,core_flowtype,geochem_zone,mcra,dsrab,aom
GC1045,24,inc,lin,66010,1366679,0.000025
GC1045,44,inc,lin,476365,283987,0.073859
GC1045,66,inc,lin,2394342.195,238582,178.630685
GC1045,76,inc,nss,6321656.051,95541,0.227577
GC1045,86,inc,nss,465782.8735,39412,0.000002
GC1048,21,inc,lin,5106,238257.3179,4.43E-09
GC1048,41,inc,lin,23746,90531.31493,1.87E-08
GC1048,61,inc,lin,33028,74949.18699,7.67E-08
GC1048,81,inc,lin,7972,60457.08212,3.14E-07
GC1048,141,inc,lin,7881,18792.43453,2.14E-05
GC1048,161,inc,lin,4122,58892.81508,8.70E-05
GC1048,305,inc,nss,33702762,12718.02326,1.32E+00
GC1068,61,ss,lin,149641,76816,1.34E+00
GC1068,66,ss,lin,264364,71378,1.86E+00
GC1068,71,ss,lin,1238250,18077,2.55E+00
GC1068,76,ss,lin,2656600,,3.45E+00
GC1068,81,ss,lin,1600660,5776,4.60E+00
GC1069,21,ss,lin,16956,74606.61964,8.33E-02
GC1069,41,ss,lin,44663,29398.46223,3.44E-01
GC1069,81,ss,lin,30665,10490.63912,4.60E+00
GC1069,91.5,ss,lin,132530,34939.75904,7.59E+00
GC1069,109,ss,lin,45386,40090.77156,7.67E+00
GC1069,115,ss,lin,444234,20793.95085,4.46E+00
GC1070,12,ss,lin,9969,121048.1344,4.16E-02
GC1070,22,ss,lin,65104,86805.55556,9.00E-02
GC1070,32,ss,lin,11706,30100.33445,1.84E-01
GC1070,42,ss,lin,12191,,3.71E-01
GC1070,52,ss,lin,124922,,7.35E-01
GC1070,56,ss,lin,52283,,9.59E-01
GC1070,63,ss,lin,16958,7140.307033,1.53E+00
GC1070,68,ss,below,26796,31758.63438,2.12E+00
GC1070,72,ss,below,21448,18874.39945,2.72E+00
GC1081,23,inc,nss,17857,43233,0.001795
GC1081,49,inc,nss,7483710,182062,48.064219
GC1081,56.5,inc,below,5628149,15743,106.016986
GC1081,69,inc,below,471536,6001.371742,0.000602
