depth_mbsf,R-AOM-8000yr-nmol_cm3_day,sample depth for 48,interpolated rate for 48,R-AOM-50000yr-nmol_cm3_day,sample depth for others,interpolated rate for others
0,5.16E-10,,,9.80E-03,,
0.05,1.10E-09,,,2.08E-02,,
0.1,1.82E-09,,,3.44E-02,0.120,4.16E-02
0.15,2.77E-09,,,5.23E-02,,
0.2,4.07E-09,0.210,4.43E-09,7.66E-02,0.220,9.00E-02
0.25,5.88E-09,,,1.10E-01,,
0.3,8.43E-09,,,1.58E-01,0.320,1.84E-01
0.35,1.20E-08,,,2.24E-01,,
0.4,1.72E-08,0.410,1.87E-08,3.18E-01,0.420,3.71E-01
0.45,2.45E-08,,,4.50E-01,,
0.5,3.49E-08,,,6.33E-01,0.520,7.35E-01
0.55,4.96E-08,,,8.89E-01,0.560,9.59E-01
0.6,7.06E-08,0.610,7.67E-08,1.24E+00,0.630,1.53E+00
0.65,1.01E-07,,,1.73E+00,0.680,2.12E+00
0.7,1.43E-07,,,2.38E+00,0.720,2.72E+00
0.75,2.04E-07,,,3.23E+00,0.760,3.45E+00
0.8,2.90E-07,0.810,3.14E-07,4.33E+00,0.810,4.60E+00
0.85,4.12E-07,,,5.66E+00,,
0.9,5.86E-07,,,7.16E+00,0.915,7.59E+00
0.95,8.34E-07,,,8.60E+00,,
1,1.19E-06,,,9.52E+00,,
1.05,1.69E-06,,,9.22E+00,1.090,7.67E+00
1.1,2.40E-06,,,7.28E+00,1.150,4.46E+00
1.15,3.41E-06,,,4.46E+00,,
1.2,4.84E-06,,,2.17E+00,,
1.25,6.88E-06,,,9.09E-01,,
1.3,9.78E-06,,,3.47E-01,,
1.35,1.39E-05,,,1.25E-01,,
1.4,1.97E-05,1.410,2.14E-05,4.34E-02,,
1.45,2.80E-05,,,1.46E-02,,
1.5,3.98E-05,,,4.82E-03,,
1.55,5.65E-05,,,1.56E-03,,
1.6,8.02E-05,1.610,8.70E-05,4.95E-04,,
1.65,1.14E-04,,,1.55E-04,,
1.7,1.62E-04,,,4.79E-05,,
1.75,2.29E-04,,,1.46E-05,,
1.8,3.25E-04,,,4.43E-06,,
1.85,4.60E-04,,,1.33E-06,,
1.9,6.53E-04,,,3.96E-07,,
1.95,9.24E-04,,,1.17E-07,,
2,1.31E-03,,,3.42E-08,,
2.05,1.85E-03,,,9.98E-09,,
2.1,2.62E-03,,,2.89E-09,,
2.15,3.71E-03,,,8.33E-10,,
2.2,5.24E-03,,,2.39E-10,,
2.25,7.39E-03,,,6.82E-11,,
2.3,1.04E-02,,,1.94E-11,,
