"","core","pingo","core_flowtype","geochem_zone","stage"
"GC1045-004.0A","GC1045","p3","inc","lin","fluxincreasing"
"GC1045-024.0A","GC1045","p3","inc","lin","fluxincreasing"
"GC1045-044.0A","GC1045","p3","inc","lin","fluxincreasing"
"GC1045-066.0A","GC1045","p3","inc","lin","fluxincreasing"
"GC1045-076.0A","GC1045","p3","inc","nss","fluxincreasing"
"GC1045-086.0A","GC1045","p3","inc","nss","fluxincreasing"
"GC1045-110.0A","GC1045","p3","inc","below","fluxincreasing"
"GC1048-007.5A","GC1048","reference","ss","lin","steadystate"
"GC1048-021.0A","GC1048","reference","ss","lin","steadystate"
"GC1048-041.0A","GC1048","reference","ss","lin","steadystate"
"GC1048-061.0A","GC1048","reference","ss","lin","steadystate"
"GC1048-081.0A","GC1048","reference","ss","lin","steadystate"
"GC1048-101.0A","GC1048","reference","ss","lin","steadystate"
"GC1048-141.0A","GC1048","reference","ss","lin","steadystate"
"GC1048-161.0A","GC1048","reference","ss","lin","steadystate"
"GC1048-181.0A","GC1048","reference","ss","lin","steadystate"
"GC1048-201.0A","GC1048","reference","ss","lin","steadystate"
"GC1048-260.0A","GC1048","reference","ss","lin","steadystate"
"GC1048-261.0A","GC1048","reference","ss","lin","steadystate"
"GC1048-305.0A","GC1048","reference","ss","lin","steadystate"
"GC1068-061.0A","GC1068","p5","ss","lin","steadystate"
"GC1068-066.0A","GC1068","p5","ss","lin","steadystate"
"GC1068-071.0A","GC1068","p5","ss","lin","steadystate"
"GC1068-076.0A","GC1068","p5","ss","lin","steadystate"
"GC1068-081.0A","GC1068","p5","ss","lin","steadystate"
"GC1068-104.0A","GC1068","p5","ss","below","steadystate"
"GC1068-151.0A","GC1068","p5","ss","below","steadystate"
"GC1068-231.0A","GC1068","p5","ss","below","steadystate"
"GC1068-235.0A","GC1068","p5","ss","below","steadystate"
"GC1068-255.0A","GC1068","p5","ss","below","steadystate"
"GC1069-021.0A","GC1069","p5","ss","lin","steadystate"
"GC1069-041.0A","GC1069","p5","ss","lin","steadystate"
"GC1069-081.0A","GC1069","p5","ss","lin","steadystate"
"GC1069-091.5A","GC1069","p5","ss","lin","steadystate"
"GC1069-103.0A","GC1069","p5","ss","lin","steadystate"
"GC1069-109.0A","GC1069","p5","ss","lin","steadystate"
"GC1069-115.0A","GC1069","p5","ss","lin","steadystate"
"GC1069-131.0A","GC1069","p5","ss","lin","steadystate"
"GC1069-151.0A","GC1069","p5","ss","below","steadystate"
"GC1069-176.0A","GC1069","p5","ss","below","steadystate"
"GC1069-201.0A","GC1069","p5","ss","below","steadystate"
"GC1070-012.0A","GC1070","p5","ss","lin","steadystate"
"GC1070-022.0A","GC1070","p5","ss","lin","steadystate"
"GC1070-032.0A","GC1070","p5","ss","lin","steadystate"
"GC1070-042.0A","GC1070","p5","ss","lin","steadystate"
"GC1070-052.0A","GC1070","p5","ss","lin","steadystate"
"GC1070-056.0A","GC1070","p5","ss","lin","steadystate"
"GC1070-063.0A","GC1070","p5","ss","lin","steadystate"
"GC1070-068.0A","GC1070","p5","ss","below","steadystate"
"GC1070-072.0A","GC1070","p5","ss","below","steadystate"
"GC1070-082.0A","GC1070","p5","ss","below","steadystate"
"GC1070-101.0A","GC1070","p5","ss","below","steadystate"
"GC1070-151.0A","GC1070","p5","ss","below","steadystate"
"GC1070-201.0A","GC1070","p5","ss","below","steadystate"
"GC1070-251.0A","GC1070","p5","ss","below","steadystate"
"GC1070-311.0A","GC1070","p5","ss","below","steadystate"
"GC1081-023.0A","GC1081","p4","inc","nss","fluxincreasing"
"GC1081-049.0A","GC1081","p4","inc","nss","fluxincreasing"
"GC1081-056.5A","GC1081","p4","inc","below","fluxincreasing"
"GC1081-069.0A","GC1081","p4","inc","below","fluxincreasing"
"GC1081-086.0A","GC1081","p4","inc","below","fluxincreasing"
"PC1029-001.0A","PC1029","p3","inc","lin","seep"
"PC1029-002.0A","PC1029","p3","inc","lin","seep"
"PC1029-003.0A","PC1029","p3","inc","lin","seep"
"PC1029-005.0A","PC1029","p3","inc","lin","seep"
"PC1029-007.0A","PC1029","p3","inc","lin","seep"
"PC1029-009.0A","PC1029","p3","inc","lin","seep"
"PC1029-011.0A","PC1029","p3","inc","lin","seep"
"PC1029-012.0A","PC1029","p3","inc","nss","seep"
"PC1029-013.0A","PC1029","p3","inc","nss","seep"
"PC1029-015.0A","PC1029","p3","inc","nss","seep"
"PC1029-017.0A","PC1029","p3","inc","nss","seep"
"PC1029-020.0A","PC1029","p3","inc","nss","seep"
"PC1029-021.0A","PC1029","p3","inc","nss","seep"
"PC1029-022.0A","PC1029","p3","inc","nss","seep"
"PC1029-023.5A","PC1029","p3","inc","nss","seep"
