sample_name,core,depth,pingo,SO4_mM,HS_mM,Alk_mM,core_flowtype,geochem_zone,readqualok,stage,Sample_or_Control,quant_reading,extracted_by
EBkati-000.0A,NA,NA,NA,NA,NA,NA,NA,NA,yes,,Control Sample,3,katie
EBstel-000.0A,NA,NA,NA,NA,NA,NA,NA,NA,yes,,Control Sample,5,stella
GC1045-004.0A,GC1045,4,p3,27,0,2,inc,lin,yes,fluxincreasing,True Sample,15.3,katie
GC1045-024.0A,GC1045,24,p3,25.29,0.29,3.43,inc,lin,yes,fluxincreasing,True Sample,33,stella
GC1045-044.0A,GC1045,44,p3,24.2,1.06,6.13,inc,lin,yes,fluxincreasing,True Sample,40.8,stella
GC1045-066.0A,GC1045,66,p3,16.37,2.73,14.2,inc,lin,yes,fluxincreasing,True Sample,40.6,stella
GC1045-076.0A,GC1045,76,p3,12.81,3.22,17.29,inc,nss,yes,fluxincreasing,True Sample,38.8,stella
GC1045-086.0A,GC1045,86,p3,9.25,3.71,20.38,inc,nss,yes,fluxincreasing,True Sample,31.6,stella
GC1045-110.0A,GC1045,110,p3,0.71,4.9,27.8,inc,below,yes,fluxincreasing,True Sample,27.8,stella
GC1048-007.5A,GC1048,7.5,reference,27,0,2,inc,lin,yes,steadystate,True Sample,11.3,katie
GC1048-021.0A,GC1048,21,reference,25.46025312,0.026652795,2.950093621,inc,lin,yes,steadystate,True Sample,12,katie
GC1048-041.0A,GC1048,41,reference,24.13719335,0.026633411,3.338768651,inc,lin,yes,steadystate,True Sample,8.75,katie
GC1048-061.0A,GC1048,61,reference,22.81413358,0.026614027,3.727443681,inc,lin,yes,steadystate,True Sample,6.56,katie
GC1048-081.0A,GC1048,81,reference,21.80691169,0.022102868,4.116118711,inc,lin,yes,steadystate,True Sample,7.09,katie
GC1048-101.0A,GC1048,101,reference,21.05810259,0.013916621,4.504793741,inc,lin,yes,steadystate,True Sample,13.9,katie
GC1048-121.0A,GC1048,121,,,,,,,yes,steadystate,True Sample,21.1,katie
GC1048-141.0A,GC1048,141,reference,19.53786478,0,5.282143802,inc,lin,yes,steadystate,True Sample,10.9,katie
GC1048-161.0A,GC1048,161,reference,18.71365693,0,5.670818832,inc,lin,yes,steadystate,True Sample,8.14,katie
